Reference, Value, Footprint, Datasheet
"IC1","ATMEGA328-P","bin:atmega328p",""
"U1","TLV741P","TO_SOT_Packages_SMD:SOT-23-5",""
"J1","Battery IN","Connectors_Terminal_Blocks:TerminalBlock_bornier-2_P5.08mm",""
"C1","0.1uF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C2","1uF","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"U2","RN2483","RN2483:RN2483",""
"AE2","868 MHz","Connectors:SMA_THT_Jack_Straight",""
"AE1","433 MHz","Connectors:SMA_THT_Jack_Straight",""
"P11","PIN_2","Pin_Headers:Pin_Header_Straight_1x20_Pitch2.54mm",""
"P9","PIN_1","Pin_Headers:Pin_Header_Straight_1x20_Pitch2.54mm",""
"P10","LORA_PORT","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"SW1","SW_PUSH","Buttons_Switches_THT:SW_PUSH_6mm",""
"R8","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"P7","DEBUG","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"C7","100nF","Capacitors_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"Y1","16MHz","Crystals:Crystal_HC49-U_Vertical",""
"C5","22pF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C6","22pF","Capacitors_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"P5","GPIO_ADC","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"P6","ICSP","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"C4","100nF","Capacitors_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"P8","SENSOR","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"Q1","IRF540N","Power_Integrations:TO-220",""
"R1","1K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","0","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","0","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D1","1N4148","Diodes_THT:D_5W_P12.70mm_Horizontal",""
"Q2","IRF540N","Power_Integrations:TO-220",""
"R6","1K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R7","10K","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"D2","1N4148","Diodes_THT:D_5W_P12.70mm_Horizontal",""
"C3","100nF","Capacitors_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"P3","Power","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm",""
"P1","Boost Input","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P2","Boost Output","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R3","0","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"P4","RTC","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
